packet_size,num_packets,duration,bytes_sent,bytes_received,target
673,86,199,7100,401181,0
1196,44,141,49179,54986,0
295,42,191,14714,236384,0
853,27,145,14101,248522,0
803,55,174,10355,273492,0
1339,11,70,8321,322158,0
423,91,90,33454,132409,0
1091,15,193,7597,283820,0
376,87,12,20592,224588,0
667,93,26,38870,89082,0
488,19,59,6958,499962,0
973,11,249,44832,155410,0
1264,42,108,16101,468036,0
1266,16,124,28173,135024,0
958,49,291,34808,446016,0
1128,90,136,47856,332844,0
926,96,7,19973,338193,0
1441,45,234,34516,113227,0
1235,57,86,12295,244028,0
476,24,96,16205,487985,0
449,59,55,12016,147493,0
1015,75,133,30556,351014,0
400,97,242,46814,137893,0
1154,81,226,42418,465534,0
1360,41,143,33151,180841,0
1323,90,5,47359,323586,0
1217,47,206,43547,488458,0
